lat,lon,avg_temp
18.0,42.0,29.34704
-2.0,152.0,29.31163
0.0,150.0,29.30758
-2.0,150.0,29.305843
-4.0,160.0,29.302792
0.0,152.0,29.299177
18.0,40.0,29.284924
-4.0,162.0,29.279705
2.0,150.0,29.275366
-4.0,158.0,29.27525
-2.0,154.0,29.272867
16.0,40.0,29.272358
0.0,148.0,29.27078
2.0,152.0,29.270008
0.0,154.0,29.257425
-2.0,156.0,29.255709
-2.0,158.0,29.254347
2.0,148.0,29.253485
-6.0,162.0,29.246565
-6.0,160.0,29.243198
-4.0,156.0,29.242876
-4.0,164.0,29.241331
2.0,154.0,29.240393
2.0,146.0,29.23348
-6.0,164.0,29.23286
-4.0,152.0,29.23206
-4.0,154.0,29.231985
-2.0,160.0,29.22897
-2.0,148.0,29.224781
0.0,156.0,29.219664
-6.0,172.0,29.21874
-6.0,166.0,29.21772
-6.0,170.0,29.216396
-6.0,168.0,29.216259
0.0,146.0,29.213888
2.0,144.0,29.20893
4.0,150.0,29.20867
-6.0,174.0,29.206032
4.0,152.0,29.203112
-4.0,166.0,29.20001
-6.0,158.0,29.196585
2.0,156.0,29.195112
-6.0,176.0,29.194262
4.0,148.0,29.190641
16.0,42.0,29.186382
-4.0,150.0,29.185572
4.0,154.0,29.183376
4.0,146.0,29.179075
0.0,158.0,29.179066
-6.0,178.0,29.17072
2.0,142.0,29.17002
-4.0,168.0,29.168781
-2.0,162.0,29.167126
0.0,144.0,29.160961
4.0,144.0,29.15897
-8.0,176.0,29.157787
-8.0,178.0,29.151989
-4.0,170.0,29.146845
4.0,156.0,29.145576
-8.0,174.0,29.144314
-6.0,156.0,29.139536
2.0,158.0,29.139133
-8.0,180.0,29.137436
-8.0,172.0,29.137053
-6.0,180.0,29.136806
2.0,140.0,29.12994
0.0,142.0,29.122942
-8.0,170.0,29.121431
4.0,142.0,29.121265
-4.0,172.0,29.121206
-2.0,146.0,29.11887
0.0,160.0,29.109434
-4.0,174.0,29.103516
-8.0,168.0,29.100626
4.0,158.0,29.098509
0.0,140.0,29.096016
-8.0,182.0,29.092852
-2.0,164.0,29.092152
20.0,40.0,29.08902
-8.0,166.0,29.08551
4.0,140.0,29.08449
-8.0,164.0,29.08192
2.0,138.0,29.07781
-6.0,154.0,29.077309
-4.0,176.0,29.077095
-4.0,148.0,29.077051
-6.0,182.0,29.076582
-8.0,162.0,29.07217
0.0,138.0,29.06635
2.0,160.0,29.065853
-8.0,160.0,29.0614
-2.0,144.0,29.061193
6.0,150.0,29.052984
6.0,152.0,29.048302
6.0,148.0,29.044748
4.0,160.0,29.04269
-8.0,184.0,29.037868
6.0,146.0,29.03768
4.0,138.0,29.034521
-4.0,178.0,29.033167
