year,avg_sst
1854,13.515059
1855,13.544623
1856,13.447948
1857,13.416666
1858,13.4609995
1859,13.535685
1860,13.461073
1861,13.433875
1862,13.394852
1863,13.480406
1864,13.511862
1865,13.562145
1866,13.565536
1867,13.483861
1868,13.521977
1869,13.521476
1870,13.505566
1871,13.503099
1872,13.487834
1873,13.45891
1874,13.415261
1875,13.501331
1876,13.459203
1877,13.682855
1878,13.6508045
1879,13.544328
1880,13.512989
1881,13.513935
1882,13.524641
1883,13.486083
1884,13.418671
1885,13.359661
1886,13.364594
1887,13.34984
1888,13.478694
1889,13.488297
1890,13.304888
1891,13.414952
1892,13.374041
1893,13.341945
1894,13.311923
1895,13.405112
1896,13.511207
1897,13.455523
1898,13.364064
1899,13.40447
1900,13.451492
1901,13.371783
1902,13.306246
1903,13.206741
1904,13.154189
1905,13.308831
1906,13.327373
1907,13.273357
1908,13.1679
1909,13.135787
1910,13.161388
1911,13.153352
1912,13.261394
1913,13.226666
1914,13.348531
1915,13.410152
1916,13.294495
1917,13.257344
1918,13.3375635
1919,13.304192
1920,13.297232
1921,13.332457
1922,13.298429
1923,13.295624
1924,13.3007145
1925,13.324008
1926,13.398982
1927,13.357046
1928,13.318601
1929,13.282762
1930,13.385506
1931,13.400179
1932,13.348168
1933,13.321747
1934,13.365029
1935,13.35833
1936,13.402184
1937,13.469112
1938,13.425494
1939,13.471097
1940,13.589984
1941,13.694488
1942,13.563456
1943,13.553329
1944,13.679636
1945,13.665563
1946,13.452538
1947,13.430449
1948,13.396468
1949,13.427617
1950,13.432162
1951,13.484214
1952,13.538787
1953,13.528912
1954,13.42279
1955,13.403498
1956,13.442345
1957,13.587619
1958,13.588709
1959,13.534378
1960,13.550531
1961,13.5689535
1962,13.5454645
1963,13.539929
1964,13.429408
1965,13.456079
1966,13.490981
1967,13.503768
1968,13.504375
1969,13.614748
1970,13.549789
1971,13.468792
1972,13.590989
1973,13.620072
1974,13.502421
1975,13.515283
1976,13.5419
1977,13.6747
1978,13.606986
1979,13.715503
1980,13.729178
1981,13.70711
1982,13.686598
1983,13.758785
1984,13.70084
1985,13.66783
1986,13.671628
1987,13.774471
1988,13.752617
1989,13.739615
1990,13.82648
1991,13.790246
1992,13.713145
1993,13.7277565
1994,13.740033
1995,13.778481
1996,13.7351885
1997,13.862376
1998,13.897028
1999,13.740434
2000,13.769383
2001,13.861647
2002,13.889416
2003,13.909531
2004,13.916286
2005,13.913906
2006,13.918016
2007,13.866101
2008,13.841061
2009,13.929416
2010,13.958423
2011,13.88262
2012,13.941203
2013,13.94713
2014,14.019499
2015,14.104155
2016,14.172428
2017,14.127638
2018,14.090993
2019,14.150443
2020,14.137558
2021,14.040638
2022,14.091631
2023,14.262044
2024,14.303365
2025,14.267665
2026,14.231605
