year,avg_anomaly
1854,-0.04925408
1855,-0.019690178
1856,-0.116365515
1857,-0.14764835
1858,-0.10331463
1859,-0.028629359
1860,-0.103241384
1861,-0.13043869
1862,-0.16946217
1863,-0.08390798
1864,-0.052452147
1865,-0.0021683616
1866,0.001222083
1867,-0.0804532
1868,-0.04233663
1869,-0.042838108
1870,-0.05874874
1871,-0.061214823
1872,-0.076480314
1873,-0.10540436
1874,-0.14905258
1875,-0.06298277
1876,-0.105111115
1877,0.11854048
1878,0.08649054
1879,-0.019985963
1880,-0.051325355
1881,-0.05037897
1882,-0.0396725
1883,-0.07823062
1884,-0.14564314
1885,-0.20465267
1886,-0.19971932
1887,-0.21447363
1888,-0.085620046
1889,-0.07601616
1890,-0.25942594
1891,-0.14936124
1892,-0.1902733
1893,-0.2223696
1894,-0.25239074
1895,-0.15920143
1896,-0.053107526
1897,-0.10879139
1898,-0.20024939
1899,-0.15984376
1900,-0.11282121
1901,-0.19253029
1902,-0.2580685
1903,-0.3575724
1904,-0.41012505
1905,-0.255483
1906,-0.23694094
1907,-0.2909562
1908,-0.39641365
1909,-0.4285269
1910,-0.40292582
1911,-0.4109625
1912,-0.30292004
1913,-0.33764747
1914,-0.21578303
1915,-0.15416102
1916,-0.26981905
1917,-0.30696973
1918,-0.22675039
1919,-0.26012203
1920,-0.26708272
1921,-0.23185754
1922,-0.26588586
1923,-0.2686903
1924,-0.26359987
1925,-0.24030599
1926,-0.16533226
1927,-0.20726822
1928,-0.24571341
1929,-0.2815519
1930,-0.1788087
1931,-0.16413529
1932,-0.21614537
1933,-0.24256681
1934,-0.19928475
1935,-0.20598409
1936,-0.16213056
1937,-0.0952012
1938,-0.13882
1939,-0.09321676
1940,0.025669739
1941,0.13017343
1942,-0.00085830997
1943,-0.010984633
1944,0.11532206
1945,0.1012491
1946,-0.111776166
1947,-0.1338656
1948,-0.16784546
1949,-0.13669659
1950,-0.13215205
1951,-0.0800997
1952,-0.025526993
1953,-0.035402026
1954,-0.14152397
1955,-0.16081598
1956,-0.12196911
1957,0.023304498
1958,0.024395352
1959,-0.029936325
1960,-0.013782317
1961,0.004639828
1962,-0.018849336
1963,-0.024384927
1964,-0.13490559
1965,-0.10823544
1966,-0.07333293
1967,-0.06054553
1968,-0.059938256
1969,0.050434224
1970,-0.014524037
1971,-0.09552178
1972,0.026675357
1973,0.05575802
1974,-0.061892524
1975,-0.049031757
1976,-0.022414183
1977,0.11038616
1978,0.042671673
1979,0.15118897
1980,0.1648646
1981,0.14279646
1982,0.12228347
1983,0.19447123
1984,0.13652581
1985,0.10351628
1986,0.10731367
1987,0.2101572
1988,0.18830292
1989,0.17530192
1990,0.2621658
1991,0.22593196
1992,0.1488309
1993,0.16344279
1994,0.17571889
1995,0.2141663
1996,0.17087442
1997,0.2980627
1998,0.33271402
1999,0.17611942
2000,0.20506927
2001,0.297333
2002,0.32510182
2003,0.34521702
2004,0.3519721
2005,0.34959227
2006,0.35370222
2007,0.3017876
2008,0.27674693
2009,0.36510208
2010,0.39410836
2011,0.31830624
2012,0.37688893
2013,0.38281673
2014,0.45518446
2015,0.539841
2016,0.6081138
2017,0.5633244
2018,0.5266793
2019,0.58612955
2020,0.57324404
2021,0.47632432
2022,0.5273168
2023,0.6977301
2024,0.73905057
2025,0.70335126
2026,0.6672902
